model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa
brp2.3_129,favoid,-1,16,rabinizer3,-1,OK,1.160,2018-05-14.19:40:30,80368,80368,115952,150208,150208,0,0,0,150208,16,13,2,80366,-1,-1
brp2.3_130,favoid,-1,16,rabinizer3,10,OK,0.800,2018-05-14.19:40:32,1136,40863,59050,61469,91256,11,1040,23240,57609,4404,21,4,6,-1,-1
brp2.3_131,favoid,-1,16,finless,-1,OK,1.020,2018-05-14.19:40:35,2270,80368,115952,122216,180624,20,2544,48105,111891,4658,6,2,0,-1,-1
brp2.3_131,favoid,-1,16,ltl3tela,-1,OK,1.180,2018-05-14.19:40:38,41319,80368,115952,118782,154298,10,589,28556,108092,3354,5,2,40180,-1,-1
brp2.3_133,favoid,-1,16,ltl3dra,10,OK,0.980,2018-05-14.19:40:40,41041,41830,60392,51192,52798,1,832,0,51192,1284,3,2,40320,-1,-1
brp2.3_133,favoid,-1,16,rabinizer3,10,OK,0.660,2018-05-14.19:40:42,5939,6470,9229,15228,22479,1,4201,0,15228,1837,3,2,247,-1,-1
brp2.3_134,favoid,-1,16,rabinizer3,10,OK,1.290,2018-05-14.19:40:45,3406,121135,174843,194050,289120,30,3276,77706,170706,4470,11,4,9,-1,-1
brp2.3_135,favoid,-1,16,rabinizer3,10,OK,2.020,2018-05-14.19:40:50,140804,140927,203904,251856,260847,1,8310,0,251856,649,10,5,125380,-1,-1
brp2.3_136,favoid,-1,16,rabinizer3,10,OK,2.350,2018-05-14.19:40:54,236989,237436,341909,677751,693267,0,6336,1,677751,590,21,5,229626,-1,-1
brp2.3_137,favoid,-1,16,finless,-1,OK,1.050,2018-05-14.19:40:56,4858,82956,124400,127378,195936,20,10480,48813,116382,4950,6,2,0,-1,-1
brp2.3_137,favoid,-1,16,ltl3dra,-1,OK,1.250,2018-05-14.19:40:59,80368,80368,115952,141362,143001,0,1442,0,141362,43,3,2,79795,-1,-1
brp2.3_137,favoid,-1,16,ltl3tela,-1,OK,1.360,2018-05-14.19:41:02,80368,80368,115952,126750,131168,0,3024,0,126750,47,3,2,79218,-1,-1
brp2.3_138,favoid,-1,16,ltl3dra,10,OK,0.580,2018-05-14.19:41:05,6183,6733,9317,7224,7585,0,0,1,7224,833,3,2,6613,-1,-1
brp2.3_138,favoid,-1,16,rabinizer3,10,OK,0.570,2018-05-14.19:41:07,7140,7397,10321,7747,7875,0,0,1,7747,377,3,2,7721,-1,-1
brp2.3_139,favoid,-1,16,ltl3dra,-1,OK,1.470,2018-05-14.19:41:10,80368,80368,132562,130010,131489,0,1140,0,130010,84,3,2,72923,-1,-1
brp2.3_139,favoid,-1,16,rabinizer3,-1,OK,1.390,2018-05-14.19:41:13,80368,80368,131140,130470,131007,0,354,0,130470,82,1,2,72923,-1,-1
brp2.3_142,favoid,-1,16,ltl3dra,10,OK,0.130,2018-05-14.19:41:14,35,441,661,773,1088,0,0,1,773,651,5,2,45,-1,-1
brp2.3_142,favoid,-1,16,rabinizer3,10,OK,0.910,2018-05-14.19:41:17,1179,41022,59241,65174,96044,11,504,25326,59518,3591,5,2,275,-1,-1
brp2.3_145,favoid,-1,16,ltl3tela,-1,OK,1.270,2018-05-14.19:41:21,80370,80370,116018,149807,152458,0,1120,0,149807,559,3,2,76420,-1,-1
brp2.3_145,favoid,-1,16,rabinizer3,-1,OK,1.720,2018-05-14.19:41:24,120555,120555,173931,220881,222754,0,1033,0,220881,560,3,3,116855,-1,-1
